Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014,All codes,All deaths,All deaths,Number of observed deaths,,459087
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,,235820
2014,C00-D48,All cancers,All cancers,Number of observed deaths,,136312
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,,61744
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,,126101
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,,22335
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,,28826
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,,2197
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,,653
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,,6315
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,,660
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,,4497
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,,3559
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,,3598
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,,7417
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,,8432
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,,2253
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,,1189
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,,23439
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,,23389
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,21784
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,56258
